Ticker,Category,SP-Rank,Morningstar,MS-Risk,NetAssets,YTD-return,Return-5Y-Avg,YearsUP,YearsDOWN,Best-1Y-Return,Worst-1Y-Return,Best-3Y-Return,Worst-3Y-Return,LAR-1Y,LAR-3Y,LAR-5Y,LAR-10Y,PropCash,PropStocks,PropBonds,PropOther,PropTop10Hold,EqHldPE,EqHldPB,EqHldPS,EqHldPCF,EqHldMedMktCap,EqHld3Y-EarnGr,PropBM,PropCC,PropFS,PropRE,PropCD,PropHC,PropU,PropCS,PropE,PropI,PropT,Best1Y-Return,Worst1Y-Return,Alpha1Y,Beta1Y,MeanRet1Y,R-square1Y,StdDev1Y,Sharpe1Y,Treynor1Y,Alpha3Y,Beta3Y,MeanRet3Y,R-square3Y,StdDev3Y,Sharpe3Y,Treynor3Y
AABPX,Moderate Allocation,5,9,3,917290000,0.1383,0.0938,15,3,0.2378,-0.25,0.1401,-0.0465,0.1555,0.1157,0.0938,0.0727,12.63,59.63,27.05,0,18.88,12.15,1.46,1,4.92," 57,940.00 ",0.1075,1.03,5.48,25.77,0,8.43,14.93,4.21,4.53,14.55,10.05,11.01,0.2378,-0.25,2.08,1,0.95,92,8.79,1.29,11.52,0.75,1.04,0.82,95.71,12.73,0.76,8.91
AAGAX,Large Value,5,1,4,10200000000,0.2301,0.1064,14,4,0.3615,-0.3927,0.2158,-0.0916,0.2591,0.1659,0.1064,0.0928,3.96,95.23,0.49,0,22.55,12.28,1.51,1.05,5.12," 57,880.00 ",0.1087,1.04,5.66,25.22,0.38,9.36,14.64,3.83,4.43,13.4,11.44,10.58,0.3615,-0.3927,-1.34,1.12,1.37,96.94,14.06,1.16,14.8,-0.05,1.08,1.01,98.29,19.8,0.61,9.69
AAIPX,Foreign Large Value,4,2,3,2020000000,0.162,0.069,13,5,0.4184,-0.4074,0.2478,-0.1154,0.2426,0.0946,0.069,0.0833,4.49,91.51,0,4,17.7,13.3,1.45,0.82,4.6," 30,400.00 ",0.1202,9.16,15.16,21.61,0.85,7.64,11.78,1.38,5.83,12.08,7.94,6.57,0.4184,-0.4074,0.74,1.04,0.89,96.24,18.33,0.58,9.06,0.38,1.06,0.79,97.94,23.67,0.4,6.42
AARIX,Real Estate,4,1,3,13170000,0.017,0.0668,5,2,0.3617,-0.4177,0.2217,-0.1518,0.0489,0.1302,0.0668,0.0925,4.16,95.84,0,0,56.87,37.22,2.25,4.68,13.72," 6,730.00 ",0.2398,5.55,1.62,0,90.56,0,0,0,0,0,2.26,0,0.3617,-0.4177,2.23,0.93,1.14,64.43,16.66,0.82,13.86,-1.24,1.35,0.96,71.69,31.38,0.36,4.87
AASSX,Small Value,,4,3,4820000000,0.2674,0.12,6,3,0.3479,-0.3228,0.1734,-0.1041,0.3198,0.1743,0.12,0.1001,5.59,94.41,0,0,11.26,15.18,1.37,0.79,5.38," 1,750.00 ",0.1591,6.64,14.28,24.62,3.7,1.6,5.43,2.59,0.54,5.86,19.87,14.87,0.3479,-0.3228,-3.97,1.37,1.48,88.87,17.98,0.98,12.7,-0.22,1.32,1.21,90.27,25.13,0.58,9
ABIYX,Foreign Large Value,3,5,5,544360000,0.1515,0.0105,8,3,0.4423,-0.5344,0.2823,-0.1335,0.2579,0.0401,0.0105,0.0507,0,99.62,0,0.38,21.36,11.56,1.28,0.76,5.32," 29,650.00 ",0.0825,7.57,14.65,23.02,3.56,8.98,9.41,3.14,7.71,6.14,8.59,7.24,0.4423,-0.5344,-4.96,1.13,0.49,96.03,20,0.29,3.48,-5.57,1.19,0.39,97.72,26.68,0.17,0.78
ABPCX,Conservative Allocation,1,4,3,408080000,0.0321,0.0462,7,2,0.1817,-0.1989,0.0815,-0.0321,0.0331,0.0378,0.0462,0.0375,10.22,26.6,61.93,1.03,9.33,14.34,1.8,1.12,5.72," 29,670.00 ",0.1773,4.67,13.51,18.88,5.45,8.46,10.41,2.21,3.74,9.19,11.09,12.4,0.1817,-0.1989,-2.12,0.64,0.32,95.25,5.54,0.68,5.79,-1.29,0.71,0.41,95.67,8.64,0.55,6.38
ABPRX,Large Growth,3,1,4,1880000000,0.2227,0.1476,6,3,0.4108,-0.3164,0.1499,-0.0839,0.1997,0.1733,0.1476,0.0843,6.89,93.11,0,0,34.41,19.4,3.73,2.19,12.98," 43,710.00 ",0.2412,1.71,16.98,9.47,0,6.84,17.91,0,1.97,6.33,12.52,26.26,0.4108,-0.3164,-1.29,1.17,1.44,87.31,15.48,1.11,14.8,4.66,1,1.32,80.26,20.09,0.78,14.71
ABVYX,Large Value,4,4,4,409750000,0.2343,0.0729,7,4,0.2939,-0.4181,0.1586,-0.1267,0.2636,0.1502,0.0729,0.0536,2.04,97.96,0,0,28.46,12.19,1.42,0.9,4.2," 43,510.00 ",0.1325,2.99,11.72,29.88,0,3.91,14.16,3.54,4.51,14.3,6.12,8.86,0.2939,-0.4181,-2.87,1.13,1.26,95.83,14.29,1.05,13.25,-3.31,1.11,0.76,97.42,20.36,0.44,6.45
ABXCX,Foreign Large Blend,2,3,3,3840000000,0.1375,0.0026,6,2,0.2561,-0.495,0.1428,-0.1314,0.202,0.0224,0.0026,0.0277,0.53,99.31,0.1,0.06,16.41,13.93,1.78,1,5.61," 19,710.00 ",0.1635,4.82,17.63,18.68,4.4,12.13,6.98,3.19,7.31,4.51,14.49,5.87,0.2561,-0.495,-6.15,1.04,0.32,97.46,18.28,0.21,2.08,-5.98,1.04,0.25,98.07,23.32,0.12,0.14
